code,month,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier2,late aircraft2,weather2,total2,national aviation system2,security2
SFO,2,609,831,1348,3,140,370,2929,36,8220,11555,40202,59666,10099,202402,92381,54
SFO,3,653,825,864,0,82,175,2421,37,10798,13431,41702,58215,5231,145963,40798,17
SFO,4,613,807,1000,1,73,124,2496,15,10380,13015,37200,53341,3889,144693,50222,41
SFO,5,636,1033,1960,3,120,150,3753,9,9608,13520,43919,68937,8958,223817,101881,122
SFO,6,918,1295,818,3,103,272,3135,18,10419,13844,59236,89562,6503,194632,39192,139
SFO,7,918,1261,1415,5,83,194,3684,18,10539,14435,60872,83446,4850,222354,72945,241
SFO,8,776,1148,1106,9,108,165,3149,17,11274,14605,49990,73599,6587,182462,51759,527
SFO,9,479,637,741,1,55,78,1913,12,11315,13318,29865,36997,2544,104536,35048,82
SFO,10,510,753,792,0,39,74,2096,13,11987,14170,33326,50740,2948,128173,41157,2
SFO,11,585,766,772,3,65,88,2189,17,11233,13527,39934,51704,4625,128015,31587,165
SFO,12,757,1180,2372,9,147,382,4465,37,8949,13833,55283,96703,13788,359584,193525,285
SLC,1,376,479,289,2,45,76,1191,5,7354,8626,24355,29169,3734,67026,9708,60
SLC,2,371,431,246,2,58,66,1108,3,6689,7866,22900,26711,5811,64768,9260,86
SLC,3,373,461,269,0,29,32,1135,2,8306,9475,26833,26848,3210,67796,10905,0
SLC,4,333,431,247,1,33,52,1042,26,7725,8845,24619,24607,2035,59644,8365,18
SLC,5,292,391,210,1,27,31,921,5,7800,8757,19404,22610,2939,52548,7521,74
SLC,6,458,512,277,2,58,39,1305,18,7613,8975,32948,30428,4106,77573,10003,88
SLC,7,434,598,230,1,38,26,1298,18,8160,9502,32414,34708,2269,78126,8685,50
SLC,8,384,528,195,2,47,31,1157,35,8279,9502,24081,28489,3113,63116,7317,116
SLC,9,231,292,131,0,19,9,671,8,7718,8406,18863,16185,1285,40106,3756,17
SLC,10,234,257,150,1,10,20,652,7,8085,8764,15522,14155,1765,35799,4317,40
SLC,11,288,379,294,0,21,54,981,1,7399,8435,21745,20938,2295,53796,8777,41
SLC,12,483,796,404,5,56,92,1745,7,6960,8804,37354,49549,6693,107269,13515,158
TPA,1,390,343,345,2,39,100,1118,2,4746,5966,19663,23171,2415,61030,15704,77
TPA,2,439,388,334,0,48,155,1206,1,4095,5457,25223,26455,4638,71131,14785,30
TPA,3,494,476,313,2,26,86,1310,7,5452,6855,28284,32465,2627,76058,12618,64
TPA,4,339,362,221,1,21,18,943,10,5191,6162,19140,22836,1506,52257,8758,17
TPA,5,313,355,268,3,48,30,990,43,4875,5938,18137,25507,5255,60607,11551,157
TPA,6,489,549,286,2,42,66,1371,20,4275,5732,29679,39827,4112,87851,14137,96
TPA,7,468,543,312,2,44,22,1367,19,4444,5852,28206,37428,3007,82417,13733,43
TPA,8,406,385,320,5,69,42,1185,61,4144,5432,22773,27627,4879,73421,17968,174
TPA,9,260,230,219,1,27,9,735,7,4024,4775,15170,14731,1795,39560,7837,27
TPA,10,247,187,169,1,6,13,609,3,4523,5148,12327,12032,490,31992,7119,24
TPA,11,293,256,159,4,13,16,727,2,4921,5666,15446,14716,930,37224,5929,203
TPA,12,476,480,287,4,43,40,1290,1,4748,6079,26694,33165,4956,75304,10365,124
