,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
51314,IAH,"Houston, TX: George Bush Intercontinental/Houston",156,344,522,0,35,132,1057,60,4579,5828,13848,20457,26982,0,64831,3544,4
51315,ORD,"Chicago, IL: Chicago O'Hare International",66,176,327,0,10,144,580,17,3472,4213,6539,10910,23363,0,41883,1071,4
51316,DCA,"Washington, DC: Ronald Reagan Washington National",8,13,16,0,0,8,37,0,271,316,698,549,469,0,1716,0,4
51317,EWR,"Newark, NJ: Newark Liberty International",71,156,255,0,5,78,488,6,2215,2787,6192,9836,12894,0,29325,403,4
51318,IAD,"Washington, DC: Washington Dulles International",10,7,3,0,0,2,21,0,123,146,681,283,118,0,1082,0,4
51319,DEN,"Denver, CO: Denver International",18,41,59,0,4,7,122,12,739,880,2114,2252,2464,0,7040,210,4
51320,CLT,"Charlotte, NC: Charlotte Douglas International",16,17,32,0,2,5,67,1,217,290,672,898,1215,0,2871,86,4
51321,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",278,461,325,0,1,25,1064,15,4180,5284,25961,28013,10029,0,64034,31,4
51322,MSP,"Minneapolis, MN: Minneapolis-St Paul International",52,44,60,0,1,11,157,2,656,826,4377,2681,1999,0,9099,42,4
51323,DTW,"Detroit, MI: Detroit Metro Wayne County",93,131,52,0,0,10,276,3,1941,2230,9523,8056,1479,0,19058,0,4
51324,BOS,"Boston, MA: Logan International",11,8,13,0,1,1,33,1,193,228,749,416,822,0,2035,48,4
51325,LGA,"New York, NY: LaGuardia",56,33,56,0,0,35,145,3,579,762,4786,2512,1993,0,9291,0,4
51326,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1,0,0,0,0,0,1,0,21,22,72,0,0,0,72,0,4
51327,MDW,"Chicago, IL: Chicago Midway International",11,18,11,0,0,3,40,0,163,206,929,943,364,0,2236,0,4
51328,PHL,"Philadelphia, PA: Philadelphia International",0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4
51329,MCO,"Orlando, FL: Orlando International",3,1,0,0,0,0,4,0,8,12,152,32,0,0,184,0,4
51330,SLC,"Salt Lake City, UT: Salt Lake City International",0,1,1,0,0,0,2,0,3,5,11,19,27,0,57,0,4
51331,DEN,"Denver, CO: Denver International",67,145,256,0,1,9,469,4,1493,1975,4770,13343,11476,0,29740,151,4
51332,PDX,"Portland, OR: Portland International",7,3,7,0,0,0,17,0,57,74,209,252,320,0,781,0,4
51333,ORD,"Chicago, IL: Chicago O'Hare International",25,25,93,0,0,6,142,2,220,370,974,1635,4966,0,7588,13,4
51334,TPA,"Tampa, FL: Tampa International",5,9,10,0,0,2,24,0,125,151,215,779,403,0,1397,0,4
51335,LAS,"Las Vegas, NV: McCarran International",15,26,57,0,1,0,100,0,206,306,822,2923,2727,0,6589,117,4
51336,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",18,21,63,0,1,2,103,2,217,324,1126,2022,2966,0,6136,22,4
51337,IAD,"Washington, DC: Washington Dulles International",13,14,28,0,0,1,55,0,117,173,522,1100,1086,0,2738,30,4
51338,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",6,3,7,0,0,1,16,2,84,103,813,326,408,0,1576,29,4
51339,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9,8,30,0,0,0,47,2,66,115,462,639,1364,0,2465,0,4
51340,SLC,"Salt Lake City, UT: Salt Lake City International",9,7,16,0,0,1,32,0,103,136,380,341,912,0,1644,11,4
51341,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",13,10,33,0,1,0,58,1,144,203,1068,1186,1367,0,3875,254,4
51342,IAH,"Houston, TX: George Bush Intercontinental/Houston",5,5,21,0,0,1,30,0,81,112,259,1317,749,0,2325,0,4
51343,PHL,"Philadelphia, PA: Philadelphia International",10,24,44,0,1,3,79,0,125,207,374,2117,2371,0,4968,106,4
51344,MIA,"Miami, FL: Miami International",16,8,29,0,0,2,54,0,132,188,849,415,1398,0,2670,8,4
51345,SEA,"Seattle, WA: Seattle/Tacoma International",3,0,5,0,0,0,8,0,50,58,58,17,199,0,274,0,4
51346,MCO,"Orlando, FL: Orlando International",27,24,66,0,0,4,117,1,336,458,2895,2162,3185,0,8259,17,4
51347,SAN,"San Diego, CA: San Diego International",4,1,8,0,0,0,12,0,64,76,99,48,241,0,388,0,4
