,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
50301,JFK,"New York, NY: John F. Kennedy International",73,103,137,0,8,86,322,3,958,1369,5273,7425,6358,0,20055,999,1
50302,LAX,"Los Angeles, CA: Los Angeles International",157,153,108,1,25,41,445,4,2143,2633,10914,9552,3293,42,25261,1460,1
50303,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",645,983,766,4,65,203,2463,6,9794,12466,66714,71284,24137,123,167313,5055,1
50304,SFO,"San Francisco, CA: San Francisco International",60,55,74,0,10,15,200,0,661,876,3108,4709,3394,21,11993,761,1
50305,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",42,27,18,0,0,1,87,1,308,397,2481,1552,625,0,4666,8,1
50306,BOS,"Boston, MA: Logan International",66,74,67,0,18,53,225,1,583,862,3067,4338,2639,0,11123,1079,1
50307,DCA,"Washington, DC: Ronald Reagan Washington National",71,48,52,0,12,20,183,3,724,930,3633,2683,1953,0,8962,693,1
50308,LAS,"Las Vegas, NV: McCarran International",58,57,30,1,11,7,157,1,724,889,3807,3836,1214,61,9667,749,1
50309,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",38,28,33,0,11,6,110,0,394,510,2217,1694,1326,15,5829,577,1
50310,IAD,"Washington, DC: Washington Dulles International",20,22,16,0,0,1,58,1,151,211,1245,1454,560,13,3275,3,1
50311,MIA,"Miami, FL: Miami International",261,309,392,3,37,87,1002,17,3224,4330,16768,22651,13782,202,56189,2786,1
50312,TPA,"Tampa, FL: Tampa International",41,40,21,0,6,5,108,1,394,508,2031,2991,832,0,6130,276,1
50313,PHL,"Philadelphia, PA: Philadelphia International",25,22,29,0,1,17,77,0,189,283,1378,1533,1302,12,4236,11,1
50314,SAN,"San Diego, CA: San Diego International",37,29,13,0,6,4,85,0,347,436,1733,1603,362,0,3937,239,1
50315,ORD,"Chicago, IL: Chicago O'Hare International",209,311,324,1,16,107,862,2,2933,3904,13215,22024,12644,46,49201,1272,1
50316,SEA,"Seattle, WA: Seattle/Tacoma International",36,30,19,0,8,2,92,4,273,371,1991,1657,792,5,4852,407,1
50317,DTW,"Detroit, MI: Detroit Metro Wayne County",19,13,14,0,0,1,47,0,190,238,832,942,458,0,2242,10,1
50318,SLC,"Salt Lake City, UT: Salt Lake City International",20,18,7,0,0,1,45,0,127,173,775,1344,171,11,2301,0,1
50319,MCO,"Orlando, FL: Orlando International",81,73,54,0,9,10,217,3,713,943,3787,3820,1867,1,9888,413,1
50320,DEN,"Denver, CO: Denver International",53,36,32,0,4,0,126,1,353,480,2446,2196,1144,10,6185,389,1
50321,PDX,"Portland, OR: Portland International",12,10,4,0,1,0,26,1,85,112,590,843,118,0,1602,51,1
50322,IAH,"Houston, TX: George Bush Intercontinental/Houston",40,36,21,0,1,3,98,0,346,447,2118,2231,788,0,5216,79,1
50323,CLT,"Charlotte, NC: Charlotte Douglas International",27,20,10,0,7,13,64,1,331,409,1310,1037,332,0,3176,497,1
50324,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",28,22,12,0,1,2,63,0,151,216,1219,1198,319,0,2867,131,1
50325,LGA,"New York, NY: LaGuardia",80,84,127,0,15,86,306,14,795,1201,3814,5604,5491,0,15935,1026,1
50326,EWR,"Newark, NJ: Newark Liberty International",26,23,59,0,1,23,109,0,194,326,1394,1175,2575,0,5186,42,1
50327,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",27,25,11,0,5,2,68,0,244,314,1421,1358,462,0,3417,176,1
50328,MSP,"Minneapolis, MN: Minneapolis-St Paul International",38,37,14,0,3,4,92,0,257,353,2157,2688,721,0,5905,339,1
50329,DCA,"Washington, DC: Ronald Reagan Washington National",5,5,13,0,0,0,23,0,97,120,142,206,342,0,690,0,1
50330,SEA,"Seattle, WA: Seattle/Tacoma International",110,228,237,0,28,21,603,5,3429,4058,6173,14527,7562,2,31053,2789,1
50331,LAX,"Los Angeles, CA: Los Angeles International",30,20,33,0,2,1,85,1,505,592,1438,1070,862,0,3712,342,1
50332,EWR,"Newark, NJ: Newark Liberty International",5,5,7,0,0,2,16,0,40,58,155,190,237,0,582,0,1
50333,BOS,"Boston, MA: Logan International",7,1,8,0,1,3,16,1,88,108,718,49,307,0,1180,106,1
50334,MCO,"Orlando, FL: Orlando International",3,1,6,0,0,0,9,0,55,64,75,43,174,0,299,7,1
50335,ORD,"Chicago, IL: Chicago O'Hare International",5,1,10,0,0,0,16,0,82,98,306,107,310,0,723,0,1
50336,PHL,"Philadelphia, PA: Philadelphia International",4,0,9,0,0,0,13,0,18,31,162,0,465,0,627,0,1
50337,PDX,"Portland, OR: Portland International",27,54,32,0,8,3,120,1,1008,1132,2015,4117,1143,0,7930,655,1
50338,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2,0,1,0,1,0,4,0,27,31,73,0,18,0,107,16,1
50339,MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,0,1,0,0,0,5,0,29,34,240,0,23,0,263,0,1
50340,LAS,"Las Vegas, NV: McCarran International",16,18,21,0,1,0,56,0,327,383,861,1011,701,0,2601,28,1
50341,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",12,15,15,0,1,0,43,0,163,206,757,995,729,8,2516,27,1
50342,SFO,"San Francisco, CA: San Francisco International",21,15,55,0,0,1,92,1,357,451,1269,900,2919,0,5100,12,1
50343,SAN,"San Diego, CA: San Diego International",23,18,12,0,1,1,54,1,383,439,1161,904,388,0,2487,34,1
50344,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,1,6,0,0,0,12,0,93,105,235,53,187,0,475,0,1
50345,DEN,"Denver, CO: Denver International",6,2,7,0,0,0,15,0,109,124,225,81,229,0,535,0,1
50346,SLC,"Salt Lake City, UT: Salt Lake City International",2,6,1,0,1,0,10,0,202,212,72,246,36,0,366,12,1
50347,IAH,"Houston, TX: George Bush Intercontinental/Houston",2,1,7,0,0,0,10,0,21,31,142,122,152,0,416,0,1
50348,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2,2,4,0,1,0,9,0,22,31,63,62,99,0,251,27,1
50349,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,0,1,0,0,0,3,0,28,31,147,0,13,0,160,0,1
50350,TPA,"Tampa, FL: Tampa International",1,0,0,0,0,0,1,0,30,31,15,0,0,0,15,0,1
50351,DTW,"Detroit, MI: Detroit Metro Wayne County",3,0,4,0,0,0,7,0,24,31,124,0,97,0,221,0,1
50352,JFK,"New York, NY: John F. Kennedy International",188,280,370,2,10,178,850,5,2461,3494,9764,17876,18532,154,47046,720,1
50353,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",124,127,155,1,8,67,415,2,1176,1660,6245,8766,5913,20,21448,504,1
50354,EWR,"Newark, NJ: Newark Liberty International",40,50,65,2,1,32,158,1,430,621,2236,3526,4091,101,10096,142,1
50355,LAS,"Las Vegas, NV: McCarran International",16,22,14,0,4,9,55,0,261,325,692,1507,897,16,3534,422,1
50356,SFO,"San Francisco, CA: San Francisco International",19,13,34,0,3,18,70,1,313,402,1245,908,1365,54,3911,339,1
50357,BOS,"Boston, MA: Logan International",176,333,210,1,13,245,731,2,2300,3278,9116,20712,7973,66,39146,1279,1
50358,SAN,"San Diego, CA: San Diego International",9,2,6,0,1,4,18,0,76,98,448,144,276,0,895,27,1
50359,LAX,"Los Angeles, CA: Los Angeles International",28,6,29,0,2,17,65,1,274,357,1611,310,1086,0,3252,245,1
50360,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,5,4,1,0,3,13,0,45,61,145,186,256,18,605,0,1
50361,MCO,"Orlando, FL: Orlando International",103,140,130,3,8,76,385,1,1132,1594,5911,10681,5211,120,22760,837,1
50362,DCA,"Washington, DC: Ronald Reagan Washington National",51,47,62,2,4,51,166,0,652,869,3457,2959,3228,103,10198,451,1
50363,TPA,"Tampa, FL: Tampa International",43,27,52,0,6,25,128,1,377,531,2192,2085,2028,0,6781,476,1
50364,IAD,"Washington, DC: Washington Dulles International",17,13,10,0,0,11,40,0,118,169,796,935,470,0,2230,29,1
50365,SLC,"Salt Lake City, UT: Salt Lake City International",15,13,8,0,0,2,37,1,104,144,631,597,230,0,1458,0,1
50366,DEN,"Denver, CO: Denver International",6,9,9,0,0,4,24,0,52,80,492,398,330,0,1240,20,1
50367,SEA,"Seattle, WA: Seattle/Tacoma International",11,6,17,0,1,5,35,3,99,142,575,295,847,0,1792,75,1
50368,ORD,"Chicago, IL: Chicago O'Hare International",11,9,18,0,0,9,38,0,123,170,663,576,732,0,1971,0,1
50369,LGA,"New York, NY: LaGuardia",43,57,130,3,2,26,234,3,326,589,2077,4014,8234,185,14619,109,1
50370,CLT,"Charlotte, NC: Charlotte Douglas International",7,9,8,0,0,8,24,0,83,115,365,753,506,0,1648,24,1
50371,PHL,"Philadelphia, PA: Philadelphia International",5,4,23,0,1,12,33,0,90,135,189,476,1789,0,2481,27,1
50372,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,2,3,0,0,4,12,0,34,50,373,130,92,0,595,0,1
50373,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,4,12,0,0,14,24,0,91,129,518,288,444,0,1250,0,1
50374,PDX,"Portland, OR: Portland International",3,8,3,0,0,1,14,1,65,81,111,568,109,0,788,0,1
50375,DTW,"Detroit, MI: Detroit Metro Wayne County",6,0,3,0,1,8,10,0,74,92,260,10,112,9,602,211,1
50376,MIA,"Miami, FL: Miami International",31,20,32,0,13,13,96,1,635,745,1492,1115,1599,0,4967,761,1
50377,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",41,23,41,0,12,16,117,0,876,1009,2006,1252,1363,0,5308,687,1
50378,MSP,"Minneapolis, MN: Minneapolis-St Paul International",162,136,177,0,35,26,510,1,3643,4180,13645,8360,5651,0,30664,3008,1
50379,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",590,560,782,2,100,99,2033,14,16383,18529,52021,32369,34586,262,129006,9768,1
50380,SEA,"Seattle, WA: Seattle/Tacoma International",45,31,50,0,12,5,138,2,752,897,2358,2092,1810,0,6945,685,1
50381,SLC,"Salt Lake City, UT: Salt Lake City International",104,79,66,0,21,12,270,1,2397,2680,6701,4386,2276,0,14991,1628,1
50382,LAX,"Los Angeles, CA: Los Angeles International",71,30,54,1,22,13,178,4,1602,1797,5351,2764,1527,241,11056,1173,1
50383,ORD,"Chicago, IL: Chicago O'Hare International",33,9,43,0,2,1,87,0,482,570,1743,365,2033,0,4306,165,1
50384,PDX,"Portland, OR: Portland International",24,9,19,0,3,1,56,3,278,338,995,392,517,0,2092,188,1
50385,JFK,"New York, NY: John F. Kennedy International",86,117,237,0,14,94,454,2,1527,2077,8367,8476,10597,0,28341,901,1
50386,SFO,"San Francisco, CA: San Francisco International",26,10,44,0,8,6,88,2,526,622,1024,731,1894,0,4058,409,1
50387,DTW,"Detroit, MI: Detroit Metro Wayne County",147,146,140,0,26,40,459,2,3391,3892,9924,8752,4579,0,25487,2232,1
50388,BOS,"Boston, MA: Logan International",60,71,129,0,14,87,274,0,914,1275,4455,4315,4942,0,14520,808,1
50389,DEN,"Denver, CO: Denver International",34,15,29,1,5,5,83,1,466,555,1759,767,1058,26,3906,296,1
50390,EWR,"Newark, NJ: Newark Liberty International",22,15,36,0,2,22,74,1,313,410,1520,1150,3202,0,5923,51,1
50391,LGA,"New York, NY: LaGuardia",88,135,277,0,18,130,517,10,1559,2216,5560,9020,11663,0,27436,1193,1
50392,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",27,11,8,0,2,0,47,0,360,407,1566,430,283,0,2376,97,1
50393,MCO,"Orlando, FL: Orlando International",70,43,72,0,16,18,200,1,1152,1371,4616,2407,2573,0,11169,1573,1
50394,TPA,"Tampa, FL: Tampa International",46,34,37,0,11,12,128,0,824,964,2717,2057,1552,0,6823,497,1
50395,PHL,"Philadelphia, PA: Philadelphia International",20,13,61,0,3,4,97,0,417,518,1062,1041,3528,0,5826,195,1
50396,IAH,"Houston, TX: George Bush Intercontinental/Houston",7,6,8,0,2,0,23,0,201,224,322,431,201,0,1090,136,1
50397,CLT,"Charlotte, NC: Charlotte Douglas International",29,13,26,0,4,0,72,1,444,517,1322,694,758,0,3029,255,1
50398,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",29,10,28,0,3,1,70,0,517,588,1900,669,1861,0,4645,215,1
50399,DCA,"Washington, DC: Ronald Reagan Washington National",33,18,37,0,6,2,94,1,629,726,1745,862,1700,0,4993,686,1
50400,IAD,"Washington, DC: Washington Dulles International",8,2,7,0,2,0,19,0,167,186,296,90,141,0,600,73,1
50401,SAN,"San Diego, CA: San Diego International",14,7,13,0,3,2,37,0,416,455,601,318,344,0,1546,283,1
50402,LAS,"Las Vegas, NV: McCarran International",39,15,23,0,11,6,89,0,741,836,2331,782,873,0,4851,865,1
50403,MDW,"Chicago, IL: Chicago Midway International",11,8,10,0,5,1,33,0,185,219,595,463,378,0,1937,501,1
50404,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",33,10,16,0,1,1,60,0,452,513,1827,342,477,0,2698,52,1
50405,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",111,163,93,0,0,47,367,1,956,1371,11687,12231,3625,0,27544,1,1
50406,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",274,459,355,0,0,67,1088,4,4095,5254,25230,32041,11963,0,69234,0,1
50407,IAD,"Washington, DC: Washington Dulles International",55,138,107,0,5,54,304,0,872,1230,5041,9767,5072,0,20484,604,1
50408,IAH,"Houston, TX: George Bush Intercontinental/Houston",176,369,458,0,28,58,1031,42,4646,5777,14911,24143,18982,0,60830,2794,1
50409,ORD,"Chicago, IL: Chicago O'Hare International",124,331,449,0,23,107,927,0,2737,3771,9962,20851,21849,0,55684,3022,1
50410,EWR,"Newark, NJ: Newark Liberty International",76,215,259,0,10,302,560,2,1811,2675,5481,12040,15501,0,33870,848,1
50411,LGA,"New York, NY: LaGuardia",91,89,123,0,0,144,302,4,597,1047,7525,7733,6229,0,21494,7,1
50412,CLT,"Charlotte, NC: Charlotte Douglas International",26,28,39,0,5,13,97,1,232,343,1980,1667,1568,0,5733,518,1
50413,DEN,"Denver, CO: Denver International",36,103,111,0,8,42,258,5,914,1219,3483,6572,5273,0,16450,1122,1
50414,DTW,"Detroit, MI: Detroit Metro Wayne County",123,221,105,0,2,69,452,0,1936,2457,12086,15040,3428,0,30706,152,1
50415,MSP,"Minneapolis, MN: Minneapolis-St Paul International",44,69,50,0,0,26,163,1,614,804,4093,5300,1822,0,11215,0,1
50416,DCA,"Washington, DC: Ronald Reagan Washington National",14,11,28,0,0,20,53,0,208,281,507,557,954,0,2018,0,1
50417,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,0,4,0,0,1,9,0,12,22,183,9,120,0,312,0,1
50418,BOS,"Boston, MA: Logan International",14,12,19,0,0,16,45,1,124,186,785,525,722,0,2032,0,1
50419,SLC,"Salt Lake City, UT: Salt Lake City International",4,5,4,0,0,0,13,0,4,17,159,226,278,0,663,0,1
50420,MDW,"Chicago, IL: Chicago Midway International",35,14,21,0,0,3,70,0,155,228,3076,1008,994,0,5078,0,1
50421,MCO,"Orlando, FL: Orlando International",2,1,1,0,0,0,4,0,15,19,399,117,30,0,546,0,1
50422,PHL,"Philadelphia, PA: Philadelphia International",5,2,2,0,0,1,9,0,21,31,367,65,41,0,473,0,1
50423,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,1
50424,SAN,"San Diego, CA: San Diego International",4,8,8,0,0,0,20,0,53,73,241,428,254,0,930,7,1
50425,DEN,"Denver, CO: Denver International",115,195,236,0,2,16,548,2,1376,1942,7949,16474,11374,0,36226,429,1
50426,ORD,"Chicago, IL: Chicago O'Hare International",17,42,51,0,0,3,110,0,169,282,2184,4380,3702,0,10266,0,1
50427,MCO,"Orlando, FL: Orlando International",45,48,80,0,2,7,175,0,257,439,3751,5929,3667,0,13464,117,1
50428,LAS,"Las Vegas, NV: McCarran International",14,22,31,0,0,2,67,0,160,229,1284,2130,1523,0,4957,20,1
50429,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",15,14,30,0,2,1,61,0,167,229,1278,1227,2014,0,4612,93,1
50430,SLC,"Salt Lake City, UT: Salt Lake City International",7,18,20,0,1,1,46,0,108,155,412,1793,1042,0,3293,46,1
50431,PHL,"Philadelphia, PA: Philadelphia International",8,25,27,0,0,8,60,0,52,120,1035,3089,1830,0,5954,0,1
50432,MIA,"Miami, FL: Miami International",17,16,38,0,3,6,74,1,99,180,1338,2343,2169,0,5966,116,1
50433,TPA,"Tampa, FL: Tampa International",14,22,40,0,1,4,76,0,102,182,975,2182,2238,0,5445,50,1
50434,IAD,"Washington, DC: Washington Dulles International",20,33,40,0,0,1,94,0,131,226,1536,2807,2274,0,6624,7,1
50435,LAX,"Los Angeles, CA: Los Angeles International",2,6,9,0,0,0,17,1,68,86,103,569,295,0,967,0,1
50436,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10,4,7,0,0,1,21,0,83,105,514,212,586,0,1313,1,1
50437,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3,13,13,0,0,0,30,0,42,72,175,1308,572,0,2065,10,1
50438,DCA,"Washington, DC: Ronald Reagan Washington National",4,6,14,0,0,0,24,0,67,91,303,530,666,0,1499,0,1
50439,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",16,13,27,0,2,4,59,0,125,188,1315,863,1162,0,3455,115,1
50440,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,11,18,0,0,1,36,0,100,137,520,1107,733,0,2364,4,1
50441,IAH,"Houston, TX: George Bush Intercontinental/Houston",6,10,15,0,0,0,31,0,84,115,571,1019,642,0,2267,35,1
50442,SFO,"San Francisco, CA: San Francisco International",9,7,24,0,0,0,40,0,100,140,569,631,1061,0,2263,2,1
50443,CLT,"Charlotte, NC: Charlotte Douglas International",1,4,2,0,0,1,6,0,14,21,30,158,81,0,269,0,1
50444,SEA,"Seattle, WA: Seattle/Tacoma International",3,6,9,0,0,0,18,0,26,44,79,351,386,0,824,8,1
50445,PDX,"Portland, OR: Portland International",5,6,7,0,0,0,17,0,32,49,166,415,336,0,921,4,1
50446,LGA,"New York, NY: LaGuardia",9,4,16,0,0,4,29,0,29,62,621,235,958,0,1814,0,1
50447,DTW,"Detroit, MI: Detroit Metro Wayne County",2,4,3,0,0,0,9,0,15,24,62,271,248,0,590,9,1
50448,MDW,"Chicago, IL: Chicago Midway International",1,1,2,0,0,0,4,0,16,20,24,79,172,0,275,0,1
50449,SFO,"San Francisco, CA: San Francisco International",2,0,1,0,2,1,5,0,56,62,70,4,30,0,160,56,1
50450,JFK,"New York, NY: John F. Kennedy International",3,1,0,0,1,0,5,0,24,29,85,17,0,0,342,240,1
50451,LAX,"Los Angeles, CA: Los Angeles International",9,4,0,0,0,1,13,0,116,130,276,275,0,0,551,0,1
50452,LAS,"Las Vegas, NV: McCarran International",5,3,0,0,0,0,8,0,67,75,206,92,0,0,298,0,1
50453,SAN,"San Diego, CA: San Diego International",4,1,0,0,0,0,5,0,26,31,170,21,0,0,191,0,1
50454,SEA,"Seattle, WA: Seattle/Tacoma International",4,3,1,0,1,0,9,1,52,62,115,135,12,0,287,25,1
50455,PDX,"Portland, OR: Portland International",2,1,0,0,0,0,3,0,28,31,61,23,0,0,84,0,1
50456,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,1,0,0,2,0,6,0,25,31,224,34,0,0,347,89,1
50457,ORD,"Chicago, IL: Chicago O'Hare International",230,890,871,4,36,666,2031,4,2956,5657,24303,73605,51810,131,153653,3804,1
50458,MIA,"Miami, FL: Miami International",28,52,16,0,4,12,100,1,616,729,2140,3401,638,0,6719,540,1
50459,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",289,935,566,7,56,283,1854,4,4572,6713,24833,53842,22064,266,105409,4404,1
50460,MSP,"Minneapolis, MN: Minneapolis-St Paul International",3,11,5,0,6,7,26,0,30,63,323,964,442,0,2244,515,1
50461,LGA,"New York, NY: LaGuardia",50,121,215,0,5,172,390,2,734,1298,4969,9456,11894,0,26720,401,1
50462,DTW,"Detroit, MI: Detroit Metro Wayne County",32,37,45,0,24,47,138,0,222,407,2110,3064,2402,0,9444,1868,1
50463,JFK,"New York, NY: John F. Kennedy International",23,82,66,0,4,67,175,0,284,526,2224,5903,3965,46,12789,651,1
50464,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10,17,13,0,4,14,45,0,75,134,823,1309,637,0,3091,322,1
50465,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,16,12,0,2,8,38,0,46,92,498,1117,768,0,2758,375,1
50466,LAX,"Los Angeles, CA: Los Angeles International",2,8,0,0,2,1,12,1,17,31,103,529,14,0,725,79,1
50467,DCA,"Washington, DC: Ronald Reagan Washington National",6,23,15,0,1,23,46,0,85,154,520,1773,725,0,3086,68,1
50468,ORD,"Chicago, IL: Chicago O'Hare International",30,37,211,0,0,4,278,1,484,767,2041,2394,14114,0,18549,0,1
50469,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",42,42,180,0,4,16,268,3,795,1082,2177,2466,8921,0,13764,200,1
50470,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",14,8,48,1,0,2,72,0,174,248,712,614,2120,62,3510,2,1
50471,BOS,"Boston, MA: Logan International",5,3,15,1,0,8,24,0,92,124,237,272,643,39,1191,0,1
50472,LAS,"Las Vegas, NV: McCarran International",26,20,106,0,0,4,152,1,587,744,1241,1569,5649,0,8459,0,1
50473,SAN,"San Diego, CA: San Diego International",5,8,13,0,0,0,26,0,102,128,352,459,764,0,1575,0,1
50474,MCO,"Orlando, FL: Orlando International",12,14,64,0,1,2,90,0,325,417,495,1044,3553,0,5121,29,1
50475,PDX,"Portland, OR: Portland International",0,0,4,0,0,0,4,0,31,35,0,0,239,0,239,0,1
50476,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",19,25,125,1,0,7,171,2,543,723,1654,2282,7769,246,11981,30,1
50477,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,7,28,0,0,0,39,0,85,124,225,775,1528,0,2528,0,1
50478,LGA,"New York, NY: LaGuardia",18,6,106,0,0,15,130,1,192,338,567,328,6157,0,7059,7,1
50479,TPA,"Tampa, FL: Tampa International",17,7,52,0,0,2,76,0,196,274,1023,941,3651,0,5622,7,1
50480,MSP,"Minneapolis, MN: Minneapolis-St Paul International",22,12,74,0,0,2,108,0,231,341,1630,897,3812,0,6339,0,1
50481,DTW,"Detroit, MI: Detroit Metro Wayne County",28,29,145,0,0,4,202,0,489,695,1355,2171,7744,0,11282,12,1
50482,IAH,"Houston, TX: George Bush Intercontinental/Houston",19,14,74,0,0,2,108,0,250,360,987,1206,3877,0,6083,13,1
50483,PHL,"Philadelphia, PA: Philadelphia International",2,2,15,0,1,2,21,0,39,62,159,167,1565,0,1954,63,1
50484,LAX,"Los Angeles, CA: Los Angeles International",17,9,49,0,0,0,75,0,199,274,601,548,2748,0,3897,0,1
50485,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10,8,27,0,0,0,45,0,110,155,540,594,1704,0,2854,16,1
50486,DEN,"Denver, CO: Denver International",16,12,60,0,0,0,89,0,185,274,1007,957,3326,5,5307,12,1
50487,LAX,"Los Angeles, CA: Los Angeles International",129,434,242,1,13,50,819,2,3317,4188,10896,27112,7322,18,46448,1100,1
50488,SAN,"San Diego, CA: San Diego International",42,63,19,0,1,5,126,0,585,716,2052,3625,624,0,6387,86,1
50489,SFO,"San Francisco, CA: San Francisco International",92,495,384,0,6,132,977,21,2437,3567,8496,35418,24530,0,68807,363,1
50490,DEN,"Denver, CO: Denver International",166,512,289,2,24,138,992,8,2456,3594,16853,36555,13009,37,69200,2746,1
50491,ORD,"Chicago, IL: Chicago O'Hare International",142,545,299,1,14,174,1001,3,2038,3216,14176,40805,17792,108,74988,2107,1
50492,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",53,95,97,1,9,26,254,3,1306,1589,3970,6240,4494,17,15777,1056,1
50493,IAH,"Houston, TX: George Bush Intercontinental/Houston",64,130,95,1,7,17,298,4,831,1150,6864,6892,3281,28,17387,322,1
50494,DCA,"Washington, DC: Ronald Reagan Washington National",16,16,11,0,3,5,46,0,55,106,1117,1171,562,0,3068,218,1
50495,MSP,"Minneapolis, MN: Minneapolis-St Paul International",73,148,128,1,8,36,358,3,1489,1886,9241,11208,4220,15,25479,795,1
50496,SLC,"Salt Lake City, UT: Salt Lake City International",120,231,148,2,21,55,522,3,3502,4082,11373,15205,4513,49,33129,1989,1
50497,DTW,"Detroit, MI: Detroit Metro Wayne County",36,97,42,0,9,34,184,1,529,748,4106,7599,1511,0,13722,506,1
50498,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",28,36,19,0,8,7,90,2,208,307,2697,2952,927,0,6991,415,1
50499,MDW,"Chicago, IL: Chicago Midway International",0,1,1,0,0,0,2,0,2,4,3,36,37,0,76,0,1
50500,LAS,"Las Vegas, NV: McCarran International",26,32,13,0,1,1,72,0,188,261,2042,2035,552,0,4682,53,1
50501,MIA,"Miami, FL: Miami International",0,1,1,0,0,0,2,0,0,2,4,12,33,0,49,0,1
50502,SEA,"Seattle, WA: Seattle/Tacoma International",52,121,56,0,18,26,247,10,694,977,5190,10160,2150,0,19619,2119,1
50503,PDX,"Portland, OR: Portland International",36,41,19,0,2,9,98,4,396,507,3287,3018,655,0,7107,147,1
50504,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",54,56,47,0,4,6,162,0,217,385,3594,4049,1677,0,9790,470,1
50505,CLT,"Charlotte, NC: Charlotte Douglas International",4,2,5,0,0,0,11,0,44,55,236,45,160,0,441,0,1
50506,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
50507,IAD,"Washington, DC: Washington Dulles International",2,1,2,0,0,0,5,0,14,19,50,154,32,0,236,0,1
50508,LGA,"New York, NY: LaGuardia",1,0,0,0,0,0,1,0,4,5,76,32,2,0,110,0,1
50509,BOS,"Boston, MA: Logan International",3,1,1,0,3,2,9,0,19,30,166,44,45,0,568,313,1
50510,IAH,"Houston, TX: George Bush Intercontinental/Houston",365,261,330,0,46,97,1002,4,3756,4859,18221,19230,10869,0,51101,2781,1
50511,SLC,"Salt Lake City, UT: Salt Lake City International",11,6,7,0,1,0,25,0,110,135,416,422,224,0,1121,59,1
50512,SEA,"Seattle, WA: Seattle/Tacoma International",73,41,30,0,9,6,153,8,503,670,3081,2521,1343,0,7722,777,1
50513,EWR,"Newark, NJ: Newark Liberty International",232,228,242,1,21,226,724,3,2692,3645,13059,17864,10921,32,43347,1471,1
50514,MCO,"Orlando, FL: Orlando International",118,58,53,0,12,15,241,2,786,1044,5858,4098,2331,0,13243,956,1
50515,LAX,"Los Angeles, CA: Los Angeles International",209,153,127,0,27,51,516,4,1801,2372,12273,12482,4361,0,30779,1663,1
50516,SFO,"San Francisco, CA: San Francisco International",271,204,251,0,42,69,768,4,2901,3742,16198,13690,13075,0,46123,3160,1
50517,MSP,"Minneapolis, MN: Minneapolis-St Paul International",16,7,6,0,6,2,35,0,123,160,875,685,284,0,2279,435,1
